Track #,Era,Chapter,Chapter Title,Artist,Song Title,Page,Year,Spotify Link
1,Before Rock,1,The World Before Rock,Judy Garland,Over the Rainbow,47,1938,https://open.spotify.com/track/6pFMYR3uv5lgzByy3fzAVv
2,Before Rock,1,The World Before Rock,Johnnie Ray and the Four Lads,Cry,52,1950,https://open.spotify.com/track/4wnFpRgQu2gLN8d76dYOGr
3,Before Rock,1,The World Before Rock,Frank Sinatra,All or Nothing at All,53,1942,https://open.spotify.com/track/63V5GaXx28BQDWGpNuUOkd
4,Before Rock,1,The World Before Rock,Les Paul and Mary Ford,I'm Sittin' on Top of the World,54,1952,https://open.spotify.com/track/1hwRl3b0RGexUjpYuRyKHX
5,Before Rock,1,The World Before Rock,Hank Williams,Hey Good Lookin',62,1950,https://open.spotify.com/track/7AV6VFdNlTRUM5SlZJcZUt
6,Before Rock,1,The World Before Rock,Muddy Waters,I'm Your Hoochie Cooche Man,69,1953,https://open.spotify.com/track/54dmizhIZPI7CD6yza0ZMP
7,Before Rock,1,The World Before Rock,Big Joe Turner,"Shake, Rattle, and Roll",72,1953,https://open.spotify.com/track/7aLoa1F3EoM8AeC6Ao1RKz
8,1950s,2,The Birth and First Flourishing of Rock and Roll,Fats Domino,Blueberry Hill,89,1955,https://open.spotify.com/track/6QO0T4xycwpqbuLQv0E9jz
9,1950s,2,The Birth and First Flourishing of Rock and Roll,Chuck Berry,Johnny B. Goode,91,1955,https://open.spotify.com/track/2XGHdmjsumZRkaL8LhBb1e
10,1950s,2,The Birth and First Flourishing of Rock and Roll,Little Richard,Tutti Frutti,93,1955,https://open.spotify.com/track/2vXk7PcNLLXsdnVaoMxzTj
11,1950s,2,The Birth and First Flourishing of Rock and Roll,Bill Haley,Rock Around the Clock,94,1953,https://open.spotify.com/track/2XBsQSZqHPPAtZpRG6TvIm
12,1950s,2,The Birth and First Flourishing of Rock and Roll,Elvis Presley,That's All Right (Mama),98,1953,https://open.spotify.com/track/4O958xeV2blAhD95Qo24nc
13,1950s,2,The Birth and First Flourishing of Rock and Roll,Gene Vincent,Be-Bop-a-Lula,104,1955,https://open.spotify.com/track/63tznJW5FCf5jM7hgYvEMe
14,1950s,3,The Demise of Rock and the Promise of Soul,The Kingston Trio,The Coasters,123,1957,https://open.spotify.com/track/5rivhNukBcqEX41XQDLYi9
15,1950s,3,The Demise of Rock and the Promise of Soul,The Coasters,Down in Mexico,129,1955,https://open.spotify.com/track/4aAd9TBS9Sbi2KDCLYeVhP
16,1950s,3,The Demise of Rock and the Promise of Soul,The Ronettes,Be My Baby,135,1962,https://open.spotify.com/track/2G2YzndIA6jeWFPBXhUjh5
17,1950s,3,The Demise of Rock and the Promise of Soul,The Drifters,There Goes My Baby,138,1958,https://open.spotify.com/track/2s4B4fUlVIkE4ELgoupjXL
18,1950s,3,The Demise of Rock and the Promise of Soul,The Everly Brothers,All I Have to Do Is Dream,141,1958,https://open.spotify.com/track/7dblNGnRXEBrVJunazs2U5
19,1950s,3,The Demise of Rock and the Promise of Soul,Roy Orbison,Only the Lonely (Know How I Feel),143,1960,https://open.spotify.com/track/7HZv4KAYOv867dAiZwrFoR
20,1950s,3,The Demise of Rock and the Promise of Soul,Jan & Dean,The Little Old Lady from Pasadena,147,1963,https://open.spotify.com/track/4F2w3xgfaVJdCSAqDtJULv
21,1950s,3,The Demise of Rock and the Promise of Soul,The Beach Boys,Surfin' U.S.A.,147,1962,https://open.spotify.com/track/0wz1LjDb9ZNEYwOmDJ3Q4b
22,1960s,4,The Beatles and the British Invasion,The Beatles,I Want to Hold Your Hand,169,1962,https://open.spotify.com/track/5Qe7NHxeLAn8KoLTNLSdwe
23,1960s,4,The Beatles and the British Invasion,The Beatles,Tomorrow Never Knows,170,1965,https://open.spotify.com/track/00oZhqZIQfL9P5CjOP6JsO
24,1960s,4,The Beatles and the British Invasion,Gerry and the Pacemakers,How Do You Do It?,173,1963,https://open.spotify.com/track/5eEo0EILtjuK2yWZnVddCc
25,1960s,4,The Beatles and the British Invasion,The Animals,House of the Rising Sun,175,1963,https://open.spotify.com/track/61Q9oJNd9hJQFhSDh6Qlap
26,1960s,4,The Beatles and the British Invasion,Korner Blues Inc,I've Got My Brand on You,176,1961,https://open.spotify.com/track/4Z8Ns1tbh1buPtlUBGC2qG
27,1960s,4,The Beatles and the British Invasion,The Rolling Stones,(I Can't Get No) Satisfaction,178,1964,https://open.spotify.com/track/2PzU4IB8Dr6mxV3lHuaG34
28,1960s,4,The Beatles and the British Invasion,The Kinks,You Really Got Me,181,1963,https://open.spotify.com/track/1oG2vWELiGjIqxwqGcyqwF
29,1960s,4,The Beatles and the British Invasion,The Who,My Generation,183,1964,https://open.spotify.com/track/45s88Xopo6KvHc0PQ05aGg
30,1960s,5,American Responses,Bob Dylan,Positively 4th Street,194,1964,https://open.spotify.com/track/4heMx0OAwfILu13Lf0VbBM
31,1960s,5,American Responses,The Byrds,Mr. Tambourine Man,197,1964,https://open.spotify.com/track/691UfzALYfLjSwfenfOg4N
32,1960s,5,American Responses,The Beach Boys,California Girls,203,1964,https://open.spotify.com/track/6bJuuCtXYiwOcKT9s8uRh8
33,1960s,5,American Responses,The Lovin' Spoonful,Do You Believe in Magic,206,1964,https://open.spotify.com/track/1udKn1oNKYQSQ9OmiIWCMu
34,1960s,5,American Responses,The Kingsmen,Louie Louie,211,1962,https://open.spotify.com/track/0iA3xXSkSCiJywKyo1UKjQ
35,1960s,5,American Responses,The Monkees,Last Train to Clarksville,215,1965,https://open.spotify.com/track/3dgyDSKfzaNBtlZuUxc8IW
36,1960s,6,Motown Pop and Southern Soul,The Supremes,Baby Love,223,1963,https://open.spotify.com/track/5uES1C2NgkdrNHiCwf9jRr
37,1960s,6,Motown Pop and Southern Soul,The Temptations,The Way You Do the Things You Do,227,1963,https://open.spotify.com/track/3496rr5XSGD6n1Z1OKXovb
38,1960s,6,Motown Pop and Southern Soul,The Impressions,People Get Ready,231,1964,https://open.spotify.com/track/0izzSOqBR4gdzCCWRnrzPd
39,1960s,6,Motown Pop and Southern Soul,Wilson Pickett,In the Midnight Hour,236,1964,https://open.spotify.com/track/78eSeO2ExsR4sLUHtdBCFm
40,1960s,6,Motown Pop and Southern Soul,Aretha Franklin,Respect,238,1966,https://open.spotify.com/track/7s25THrKz86DM225dOYwnr
41,1960s,6,Motown Pop and Southern Soul,James Brown,"Papa's Got a Brand New Bag, Pt. 1",241,1964,https://open.spotify.com/track/6qsaEadyD2FpKnT1cGT5ei
42,1960s,7,Psychedelia,The Beach Boys,Good Vibrations,256,1965,https://open.spotify.com/track/7tf64lNC31lWlTsih0nfZf
43,1960s,7,Psychedelia,The Beatles,A Day in the Life,259,1966,https://open.spotify.com/track/0hKRSZhUGEhKU6aNSPBACZ
44,1960s,7,Psychedelia,Jefferson Airplane,White Rabbit,268,1966,https://open.spotify.com/track/4vpeKl0vMGdAXpZiQB2Dtd
45,1960s,7,Psychedelia,Janis Joplin,Piece of My Heart,269,1967,https://open.spotify.com/track/1xKQbqQtQWrtQS47fUJBtl
46,1960s,7,Psychedelia,Cream,Sunshine of Your Love,277,1966,https://open.spotify.com/track/5y4761pjcksXs1hNsCmc4n
47,1960s,7,Psychedelia,The Jimi Hendrix Experience,Purple Haze,279,1966,https://open.spotify.com/track/0wJoRiX5K5BxlqZTolB2LD
48,1970s,8,The Growing Rock Monster,Led Zeppelin,Whole Lotta Love,300,1968,https://open.spotify.com/track/0hCB0YR03f6AmQaHbwWDe8
49,1970s,8,The Growing Rock Monster,The Allman Brothers Band,Whipping Post,304,1968,https://open.spotify.com/track/40ypi7yqrSU8aNb3CY2lKA
50,1970s,8,The Growing Rock Monster,Santana,Evil Ways,307,1969,https://open.spotify.com/track/5tmrnhMxx39jnu3kjopMdP
51,1970s,8,The Growing Rock Monster,"Emerson, Lake and Palmer",Trilogy,311,1971,https://open.spotify.com/track/0TRzbNlR34FoO3HjHvb8FX
52,1970s,8,The Growing Rock Monster,Yes,Roundabout,314,1971,https://open.spotify.com/track/0l2kEdf5XjlckyybbNjmYS
53,1970s,8,The Growing Rock Monster,Carole King,You've Got a Friend,326,1969,https://open.spotify.com/track/4Dykq1tU6xnLnlaniVH4hv
54,1970s,8,The Growing Rock Monster,The Eagles,Take It Easy,332,1971,https://open.spotify.com/track/4yugZvBYaoREkJKtbG08Qr
55,1970s,9,"Black Pop, Reggae, and the Rise of Disco",Sly and the Family Stone,Thank You (Falettinme Be Mice Elf Agin),337,1969,https://open.spotify.com/track/4lAnpiPDvKqpJGK38ax35t
56,1970s,9,"Black Pop, Reggae, and the Rise of Disco",Marvin Gaye,What's Goin' On,343,1970,https://open.spotify.com/track/34b3a3Pz9Jlz0092LMyNAB
57,1970s,9,"Black Pop, Reggae, and the Rise of Disco",Stevie Wonder,Living for the City,344,1972,https://open.spotify.com/track/3qvuhGBr6BSdGPQsdf2gLr
58,1970s,9,"Black Pop, Reggae, and the Rise of Disco",The Three Degrees,TSOP (The Sound of Philadelphia),346,1973,https://open.spotify.com/track/6B9tR2OEurD4FsZM5btj3X
59,1970s,9,"Black Pop, Reggae, and the Rise of Disco",Parliament,Tear the Roof Off the Sucker (Give Up the Funk),351,1975,https://open.spotify.com/track/4Q3AToeHk2GzTqfTPlGNU2
60,1970s,9,"Black Pop, Reggae, and the Rise of Disco",Bob Marley and the Wailers,"Get Up, Stand Up",355,1972,https://open.spotify.com/track/25ugoarRZ6IaZegrjNxGOx
61,1970s,9,"Black Pop, Reggae, and the Rise of Disco",Donna Summer,Love to Love You Baby,361,1974,https://open.spotify.com/track/4EWH8tOFnAOCP15useWsrm
62,1970s,10,"Mainstream Rock, Punk, and New Wave",Peter Frampton,Show Me the Way,368,1975,https://open.spotify.com/track/5uS8HGp7VfuU5fDarEbNi7
63,1970s,10,"Mainstream Rock, Punk, and New Wave",Boston,More Than a Feeling,372,1975,https://open.spotify.com/track/1QEEqeFIZktqIpPI4jSVSF
64,1970s,10,"Mainstream Rock, Punk, and New Wave",Foreigner,Feels Like the First Time,374,1976,https://open.spotify.com/track/4kgGJcXALI1ppNA4NdkTw9
65,1970s,10,"Mainstream Rock, Punk, and New Wave",Patti Smith,Gloria,381,1974,https://open.spotify.com/track/272Z4tzaSMMcgrZ0R494S2
66,1970s,10,"Mainstream Rock, Punk, and New Wave",The Sex Pistols,Anarchy in the UK,386,1975,https://open.spotify.com/track/6jx7pKjpXKuQdXXPI3H8qY
